Column,Type,Size,Fuzzed,XSS,Token
ar_internal_metadata.key,varchar,255,True,False,False
ar_internal_metadata.value,varchar,255,True,False,False
attachments.container_type,varchar,30,False,False,False
attachments.filename,varchar,255,True,False,False
attachments.disk_filename,varchar,255,True,False,False
attachments.content_type,varchar,255,True,False,False
attachments.digest,varchar,64,True,False,False
attachments.description,varchar,255,True,False,False
attachments.disk_directory,varchar,255,True,False,False
auth_sources.type,varchar,30,False,False,False
auth_sources.name,varchar,60,True,False,False
auth_sources.host,varchar,60,True,False,False
auth_sources.account,varchar,255,True,False,False
auth_sources.account_password,varchar,255,True,False,False
auth_sources.base_dn,varchar,255,True,False,False
auth_sources.attr_login,varchar,30,False,False,False
auth_sources.attr_firstname,varchar,30,False,False,False
auth_sources.attr_lastname,varchar,30,False,False,False
auth_sources.attr_mail,varchar,30,False,False,False
boards.name,varchar,255,True,False,False
boards.description,varchar,255,True,False,False
changes.action,varchar,1,False,False,False
changes.path,text,,True,False,False
changes.from_revision,varchar,255,True,False,False
changes.revision,varchar,255,True,False,False
changes.branch,varchar,255,True,False,False
changesets.revision,varchar,255,True,False,False
changesets.committer,varchar,255,True,False,False
changesets.scmid,varchar,255,True,False,False
comments.commented_type,varchar,30,False,False,False
custom_field_enumerations.name,varchar,255,True,False,False
custom_fields.type,varchar,30,False,False,False
custom_fields.name,varchar,30,False,False,False
custom_fields.field_format,varchar,30,False,False,False
custom_fields.regexp,varchar,255,True,False,False
custom_values.customized_type,varchar,30,False,False,False
documents.title,varchar,255,True,False,False
email_addresses.address,varchar,255,True,False,True
enabled_modules.name,varchar,255,True,False,False
enumerations.name,varchar,30,False,False,False
enumerations.type,varchar,255,True,False,False
enumerations.position_name,varchar,30,False,False,False
import_items.unique_id,varchar,255,True,False,False
imports.type,varchar,255,True,False,False
imports.filename,varchar,255,True,False,False
issue_categories.name,varchar,60,True,False,False
issue_relations.relation_type,varchar,255,True,False,False
issue_statuses.name,varchar,30,False,False,False
issues.subject,varchar,255,True,False,False
journal_details.property,varchar,30,False,False,False
journal_details.prop_key,varchar,30,False,False,False
journals.journalized_type,varchar,30,False,False,False
messages.subject,varchar,255,True,False,False
news.title,varchar,60,True,False,False
news.summary,varchar,255,True,False,False
projects.name,varchar,255,True,False,False
projects.homepage,varchar,255,True,False,False
projects.identifier,varchar,255,True,False,False
queries.name,varchar,255,True,False,False
queries.group_by,varchar,255,True,False,False
queries.type,varchar,255,True,False,False
repositories.url,varchar,255,True,False,False
repositories.login,varchar,60,True,False,False
repositories.password,varchar,255,True,False,False
repositories.root_url,varchar,255,True,False,False
repositories.type,varchar,255,True,False,False
repositories.path_encoding,varchar,64,True,False,False
repositories.log_encoding,varchar,64,True,False,False
repositories.identifier,varchar,255,True,False,False
roles.name,varchar,255,True,False,False
roles.issues_visibility,varchar,30,False,False,False
roles.users_visibility,varchar,30,False,False,False
roles.time_entries_visibility,varchar,30,False,False,False
schema_migrations.version,varchar,255,True,False,False
settings.name,varchar,255,True,False,False
time_entries.comments,varchar,1024,True,False,False
tokens.action,varchar,30,False,False,False
tokens.value,varchar,40,True,False,False
trackers.name,varchar,30,False,False,False
trackers.description,varchar,255,True,False,False
user_preferences.time_zone,varchar,255,True,False,False
users.login,varchar,255,True,False,True
users.hashed_password,varchar,40,True,False,False
users.firstname,varchar,30,False,False,False
users.lastname,varchar,255,True,False,True
users.language,varchar,5,False,False,False
users.type,varchar,255,True,False,False
users.mail_notification,varchar,255,True,False,False
users.salt,varchar,64,True,False,False
users.twofa_scheme,varchar,255,True,False,False
users.twofa_totp_key,varchar,255,True,False,False
versions.name,varchar,255,True,False,False
versions.description,varchar,255,True,False,False
versions.wiki_page_title,varchar,255,True,False,False
versions.status,varchar,255,True,False,False
versions.sharing,varchar,255,True,False,False
watchers.watchable_type,varchar,255,True,False,False
wiki_content_versions.compression,varchar,6,False,False,False
wiki_content_versions.comments,varchar,1024,True,False,False
wiki_contents.comments,varchar,1024,True,False,False
wiki_pages.title,varchar,255,True,False,False
wiki_redirects.title,varchar,255,True,False,False
wiki_redirects.redirects_to,varchar,255,True,False,False
wikis.start_page,varchar,255,True,False,False
workflows.type,varchar,30,False,False,False
workflows.field_name,varchar,30,False,False,False
workflows.rule,varchar,30,False,False,False
