Column,Type,Size,Fuzzed,XSS,Token
answer.original_text,mediumtext,,True,False,False
answer.parsed_text,mediumtext,,True,True,True
badge.name,varchar,256,True,False,True
badge.icon,varchar,1024,True,False,True
badge.description,mediumtext,,True,False,True
badge.collect,varchar,128,True,False,False
badge.handler,varchar,128,True,False,False
badge.param,text,,True,False,False
badge_award.award_key,varchar,64,True,False,False
badge_group.name,varchar,256,True,False,True
collection_group.name,varchar,50,True,False,False
comment.original_text,mediumtext,,True,False,False
comment.parsed_text,mediumtext,,True,False,False
config.key,varchar,128,True,False,False
meta.key,varchar,100,True,False,False
meta.value,mediumtext,,True,False,False
notification.content,text,,True,False,False
plugin_config.plugin_slug_name,varchar,128,True,False,False
plugin_user_config.plugin_slug_name,varchar,128,True,False,False
power.name,varchar,50,True,False,False
power.power_type,varchar,100,True,False,False
power.description,varchar,200,True,False,False
question.title,varchar,150,True,False,True
question.original_text,mediumtext,,True,False,False
question.parsed_text,mediumtext,,True,True,True
report.content,text,,True,False,False
review.submitter,varchar,100,True,False,False
review.reason,text,,True,False,False
revision.title,varchar,255,True,False,False
revision.content,mediumtext,,True,False,False
revision.log,varchar,255,True,False,False
role.name,varchar,50,True,False,False
role.description,varchar,200,True,False,False
role_power_rel.power_type,varchar,200,True,False,False
site_info.type,varchar,64,True,False,False
site_info.content,mediumtext,,True,True,True
tag.main_tag_slug_name,varchar,35,True,False,False
tag.slug_name,varchar,35,True,False,True
tag.display_name,varchar,35,True,False,True
tag.original_text,mediumtext,,True,False,False
tag.parsed_text,mediumtext,,True,True,True
user.username,varchar,50,True,False,True
user.pass,varchar,255,True,False,False
user.e_mail,varchar,100,True,False,False
user.display_name,varchar,30,False,False,False
user.avatar,varchar,1024,True,False,False
user.mobile,varchar,20,False,False,False
user.bio,text,,True,False,False
user.bio_html,text,,True,True,True
user.website,varchar,255,True,False,True
user.location,varchar,100,True,False,True
user.ip_info,varchar,255,True,False,False
user.language,varchar,100,True,False,False
user.color_scheme,varchar,100,True,False,False
user_external_login.provider,varchar,100,True,False,False
user_external_login.external_id,varchar,128,True,False,False
user_notification_config.source,varchar,64,True,False,False
user_notification_config.channels,text,,True,False,False
