Column,Type,Size,Fuzzed,XSS,Token
actions.id,varchar,24,False,False,False
actions.resource_id,varchar,24,False,False,False
actions.resource_type,varchar,50,True,False,False
actions.actor_id,varchar,24,False,False,False
actions.actor_type,varchar,50,True,False,False
actions.event,varchar,50,True,False,False
api_keys.id,varchar,24,False,False,False
api_keys.type,varchar,50,True,False,False
api_keys.secret,varchar,191,True,False,False
api_keys.role_id,varchar,24,False,False,False
api_keys.integration_id,varchar,24,False,False,False
api_keys.user_id,varchar,24,False,False,False
api_keys.last_seen_version,varchar,50,True,False,False
api_keys.created_by,varchar,24,False,False,False
api_keys.updated_by,varchar,24,False,False,False
benefits.id,varchar,24,False,False,False
benefits.name,varchar,191,True,False,False
benefits.slug,varchar,191,True,False,False
brute.key,varchar,191,True,False,False
collections.id,varchar,24,False,False,False
collections.title,varchar,191,True,False,False
collections.slug,varchar,191,True,False,False
collections.description,varchar,2000,True,False,False
collections.type,varchar,50,True,False,False
collections.feature_image,varchar,2000,True,False,False
collections_posts.id,varchar,24,False,False,False
collections_posts.collection_id,varchar,24,False,False,False
collections_posts.post_id,varchar,24,False,False,False
comment_likes.id,varchar,24,False,False,False
comment_likes.comment_id,varchar,24,False,False,False
comment_likes.member_id,varchar,24,False,False,False
comment_reports.id,varchar,24,False,False,False
comment_reports.comment_id,varchar,24,False,False,False
comment_reports.member_id,varchar,24,False,False,False
comments.id,varchar,24,False,False,False
comments.post_id,varchar,24,False,False,False
comments.member_id,varchar,24,False,False,False
comments.parent_id,varchar,24,False,False,False
comments.status,varchar,50,True,False,False
custom_theme_settings.id,varchar,24,False,False,False
custom_theme_settings.theme,varchar,191,True,False,False
custom_theme_settings.key,varchar,191,True,False,False
custom_theme_settings.type,varchar,50,True,False,False
donation_payment_events.id,varchar,24,False,False,False
donation_payment_events.name,varchar,191,True,False,False
donation_payment_events.email,varchar,191,True,False,False
donation_payment_events.member_id,varchar,24,False,False,False
donation_payment_events.currency,varchar,50,True,False,False
donation_payment_events.attribution_id,varchar,24,False,False,False
donation_payment_events.attribution_type,varchar,50,True,False,False
donation_payment_events.attribution_url,varchar,2000,True,False,False
donation_payment_events.referrer_source,varchar,191,True,False,False
donation_payment_events.referrer_medium,varchar,191,True,False,False
donation_payment_events.referrer_url,varchar,2000,True,False,False
email_batches.id,varchar,24,False,False,False
email_batches.email_id,varchar,24,False,False,False
email_batches.provider_id,varchar,255,True,False,False
email_batches.status,varchar,50,True,False,False
email_batches.error_message,varchar,2000,True,False,False
email_recipient_failures.id,varchar,24,False,False,False
email_recipient_failures.email_id,varchar,24,False,False,False
email_recipient_failures.member_id,varchar,24,False,False,False
email_recipient_failures.email_recipient_id,varchar,24,False,False,False
email_recipient_failures.enhanced_code,varchar,50,True,False,False
email_recipient_failures.message,varchar,2000,True,False,False
email_recipient_failures.severity,varchar,50,True,False,False
email_recipient_failures.event_id,varchar,255,True,False,False
email_recipients.id,varchar,24,False,False,False
email_recipients.email_id,varchar,24,False,False,False
email_recipients.member_id,varchar,24,False,False,False
email_recipients.batch_id,varchar,24,False,False,False
email_recipients.member_uuid,varchar,36,True,False,False
email_recipients.member_email,varchar,191,True,False,False
email_recipients.member_name,varchar,191,True,False,False
email_spam_complaint_events.id,varchar,24,False,False,False
email_spam_complaint_events.member_id,varchar,24,False,False,False
email_spam_complaint_events.email_id,varchar,24,False,False,False
email_spam_complaint_events.email_address,varchar,191,True,False,False
emails.id,varchar,24,False,False,False
emails.post_id,varchar,24,False,False,False
emails.uuid,varchar,36,True,False,False
emails.status,varchar,50,True,False,False
emails.recipient_filter,text,,True,False,False
emails.error,varchar,2000,True,False,False
emails.subject,varchar,300,True,False,False
emails.from,varchar,2000,True,False,False
emails.reply_to,varchar,2000,True,False,False
emails.source_type,varchar,50,True,False,False
emails.newsletter_id,varchar,24,False,False,False
emails.created_by,varchar,24,False,False,False
emails.updated_by,varchar,24,False,False,False
integrations.id,varchar,24,False,False,False
integrations.type,varchar,50,True,False,False
integrations.name,varchar,191,True,False,False
integrations.slug,varchar,191,True,False,False
integrations.icon_image,varchar,2000,True,False,False
integrations.description,varchar,2000,True,False,True
integrations.created_by,varchar,24,False,False,False
integrations.updated_by,varchar,24,False,False,False
invites.id,varchar,24,False,False,False
invites.role_id,varchar,24,False,False,False
invites.status,varchar,50,True,False,False
invites.token,varchar,191,True,False,False
invites.email,varchar,191,True,False,True
invites.created_by,varchar,24,False,False,False
invites.updated_by,varchar,24,False,False,False
jobs.id,varchar,24,False,False,False
jobs.name,varchar,191,True,False,False
jobs.status,varchar,50,True,False,False
labels.id,varchar,24,False,False,False
labels.name,varchar,191,True,False,False
labels.slug,varchar,191,True,False,False
labels.created_by,varchar,24,False,False,False
labels.updated_by,varchar,24,False,False,False
members.id,varchar,24,False,False,False
members.uuid,varchar,36,True,False,False
members.transient_id,varchar,191,True,False,False
members.email,varchar,191,True,False,False
members.status,varchar,50,True,False,False
members.name,varchar,191,True,False,False
members.expertise,varchar,191,True,False,False
members.note,varchar,2000,True,False,False
members.geolocation,varchar,2000,True,False,False
members.created_by,varchar,24,False,False,False
members.updated_by,varchar,24,False,False,False
members_cancel_events.id,varchar,24,False,False,False
members_cancel_events.member_id,varchar,24,False,False,False
members_cancel_events.from_plan,varchar,255,True,False,False
members_click_events.id,varchar,24,False,False,False
members_click_events.member_id,varchar,24,False,False,False
members_click_events.redirect_id,varchar,24,False,False,False
members_created_events.id,varchar,24,False,False,False
members_created_events.member_id,varchar,24,False,False,False
members_created_events.attribution_id,varchar,24,False,False,False
members_created_events.attribution_type,varchar,50,True,False,False
members_created_events.attribution_url,varchar,2000,True,False,False
members_created_events.referrer_source,varchar,191,True,False,True
members_created_events.referrer_medium,varchar,191,True,False,False
members_created_events.referrer_url,varchar,2000,True,False,False
members_created_events.source,varchar,50,True,False,False
members_created_events.batch_id,varchar,24,False,False,False
members_email_change_events.id,varchar,24,False,False,False
members_email_change_events.member_id,varchar,24,False,False,False
members_email_change_events.to_email,varchar,191,True,False,False
members_email_change_events.from_email,varchar,191,True,False,False
members_feedback.id,varchar,24,False,False,False
members_feedback.member_id,varchar,24,False,False,False
members_feedback.post_id,varchar,24,False,False,False
members_labels.id,varchar,24,False,False,False
members_labels.member_id,varchar,24,False,False,False
members_labels.label_id,varchar,24,False,False,False
members_login_events.id,varchar,24,False,False,False
members_login_events.member_id,varchar,24,False,False,False
members_newsletters.id,varchar,24,False,False,False
members_newsletters.member_id,varchar,24,False,False,False
members_newsletters.newsletter_id,varchar,24,False,False,False
members_paid_subscription_events.id,varchar,24,False,False,False
members_paid_subscription_events.type,varchar,50,True,False,False
members_paid_subscription_events.member_id,varchar,24,False,False,False
members_paid_subscription_events.subscription_id,varchar,24,False,False,False
members_paid_subscription_events.from_plan,varchar,255,True,False,False
members_paid_subscription_events.to_plan,varchar,255,True,False,False
members_paid_subscription_events.currency,varchar,191,True,False,False
members_paid_subscription_events.source,varchar,50,True,False,False
members_payment_events.id,varchar,24,False,False,False
members_payment_events.member_id,varchar,24,False,False,False
members_payment_events.currency,varchar,191,True,False,False
members_payment_events.source,varchar,50,True,False,False
members_product_events.id,varchar,24,False,False,False
members_product_events.member_id,varchar,24,False,False,False
members_product_events.product_id,varchar,24,False,False,False
members_product_events.action,varchar,50,True,False,False
members_products.id,varchar,24,False,False,False
members_products.member_id,varchar,24,False,False,False
members_products.product_id,varchar,24,False,False,False
members_status_events.id,varchar,24,False,False,False
members_status_events.member_id,varchar,24,False,False,False
members_status_events.from_status,varchar,50,True,False,False
members_status_events.to_status,varchar,50,True,False,False
members_stripe_customers.id,varchar,24,False,False,False
members_stripe_customers.member_id,varchar,24,False,False,False
members_stripe_customers.customer_id,varchar,255,True,False,False
members_stripe_customers.name,varchar,191,True,False,False
members_stripe_customers.email,varchar,191,True,False,False
members_stripe_customers.created_by,varchar,24,False,False,False
members_stripe_customers.updated_by,varchar,24,False,False,False
members_stripe_customers_subscriptions.id,varchar,24,False,False,False
