Column,Type,Size,Fuzzed,XSS,Token
admin.username,varchar,255,True,False,False
admin.password,varchar,255,True,False,False
admin.updationDate,varchar,255,True,False,False
appointment.doctorSpecialization,varchar,255,True,True,True
appointment.appointmentDate,varchar,255,True,False,False
appointment.appointmentTime,varchar,255,True,True,True
doctors.specilization,varchar,255,True,True,True
doctors.doctorName,varchar,255,True,True,True
doctors.address,longtext,,True,False,True
doctors.docFees,varchar,255,True,False,True
doctors.docEmail,varchar,255,True,False,True
doctors.password,varchar,255,True,False,False
doctorslog.username,varchar,255,True,True,True
doctorslog.userip,binary,16,False,False,False
doctorslog.logout,varchar,255,True,True,True
doctorspecilization.specilization,varchar,255,True,True,True
tblcontactus.fullname,varchar,255,True,True,True
tblcontactus.email,varchar,255,True,True,True
tblcontactus.message,mediumtext,,True,True,True
tblcontactus.AdminRemark,mediumtext,,True,True,True
tblmedicalhistory.BloodPressure,varchar,200,True,False,False
tblmedicalhistory.BloodSugar,varchar,200,True,True,True
tblmedicalhistory.Weight,varchar,100,True,True,True
tblmedicalhistory.Temperature,varchar,200,True,True,True
tblmedicalhistory.MedicalPres,mediumtext,,True,True,True
tblpage.PageType,varchar,200,True,False,False
tblpage.PageTitle,varchar,200,True,True,True
tblpage.PageDescription,mediumtext,,True,True,True
tblpage.Email,varchar,120,True,True,True
tblpage.OpenningTime,varchar,255,True,True,True
tblpatient.PatientName,varchar,200,True,True,True
tblpatient.PatientEmail,varchar,200,True,True,True
tblpatient.PatientGender,varchar,50,True,True,True
tblpatient.PatientAdd,mediumtext,,True,False,False
tblpatient.PatientMedhis,mediumtext,,True,False,False
userlog.username,varchar,255,True,True,True
userlog.userip,binary,16,False,False,False
userlog.logout,varchar,255,True,True,True
users.fullName,varchar,255,True,True,True
users.address,longtext,,True,True,True
users.city,varchar,255,True,True,True
users.gender,varchar,255,True,True,True
users.email,varchar,255,True,True,True
users.password,varchar,255,True,False,False
