Column,Type,Size,Fuzzed,XSS,Token
mybb_adminlog.ipaddress,varbinary,16,False,False,False
mybb_adminlog.module,varchar,50,True,False,False
mybb_adminlog.action,varchar,50,True,False,False
mybb_adminlog.data,text,,True,False,False
mybb_adminoptions.cpstyle,varchar,50,True,False,False
mybb_adminoptions.cplanguage,varchar,50,True,False,True
mybb_adminoptions.notes,text,,True,False,False
mybb_adminoptions.permissions,text,,True,False,False
mybb_adminoptions.defaultviews,text,,True,False,False
mybb_adminoptions.authsecret,varchar,16,False,False,False
mybb_adminoptions.recovery_codes,varchar,177,True,False,False
mybb_adminsessions.sid,varchar,32,True,False,False
mybb_adminsessions.loginkey,varchar,50,True,False,False
mybb_adminsessions.ip,varbinary,16,False,False,False
mybb_adminsessions.data,text,,True,False,False
mybb_adminsessions.useragent,varchar,200,True,False,False
mybb_adminviews.title,varchar,100,True,False,False
mybb_adminviews.type,varchar,6,False,False,False
mybb_adminviews.fields,text,,True,False,False
mybb_adminviews.conditions,text,,True,False,False
mybb_adminviews.custom_profile_fields,text,,True,False,False
mybb_adminviews.sortby,varchar,20,False,False,False
mybb_adminviews.sortorder,varchar,4,False,False,False
mybb_adminviews.view_type,varchar,6,False,False,False
mybb_announcements.subject,varchar,120,True,False,False
mybb_announcements.message,text,,True,False,False
mybb_attachments.posthash,varchar,50,True,False,False
mybb_attachments.filename,varchar,255,True,False,False
mybb_attachments.filetype,varchar,120,True,False,False
mybb_attachments.attachname,varchar,255,True,False,False
mybb_attachments.thumbnail,varchar,120,True,False,False
mybb_attachtypes.name,varchar,120,True,False,False
mybb_attachtypes.mimetype,varchar,120,True,False,False
mybb_attachtypes.extension,varchar,10,False,False,False
mybb_attachtypes.icon,varchar,100,True,False,False
mybb_attachtypes.groups,text,,True,False,False
mybb_attachtypes.forums,text,,True,False,False
mybb_awaitingactivation.code,varchar,100,True,False,False
mybb_awaitingactivation.type,char,1,False,False,False
mybb_awaitingactivation.misc,varchar,255,True,False,False
mybb_badwords.badword,varchar,100,True,False,False
mybb_badwords.replacement,varchar,100,True,False,False
mybb_banfilters.filter,varchar,200,True,False,False
