Column,Type,Size,Fuzzed,XSS,Token
oc_address.firstname,varchar,32,True,False,False
oc_address.lastname,varchar,32,True,False,False
oc_address.company,varchar,60,True,False,False
oc_address.address_1,varchar,128,True,False,False
oc_address.address_2,varchar,128,True,False,False
oc_address.city,varchar,128,True,False,False
oc_address.postcode,varchar,10,False,False,False
oc_address.custom_field,text,,True,False,False
oc_address_format.name,varchar,128,True,False,False
oc_address_format.address_format,text,,True,False,False
oc_api.username,varchar,64,True,False,False
oc_api.key,text,,True,False,False
oc_api_ip.ip,varchar,40,True,False,False
oc_api_session.session_id,varchar,32,True,False,False
oc_api_session.ip,varchar,40,True,False,False
oc_attribute_description.name,varchar,64,True,False,False
oc_attribute_group_description.name,varchar,64,True,False,False
oc_banner.name,varchar,64,True,False,False
oc_banner_image.title,varchar,64,True,True,True
oc_banner_image.link,varchar,255,True,True,True
oc_banner_image.image,varchar,255,True,False,False
oc_cart.session_id,varchar,32,True,False,False
oc_cart.option,text,,True,False,False
oc_category.image,varchar,255,True,False,False
oc_category_description.name,varchar,255,True,True,True
oc_category_description.description,text,,True,False,False
oc_category_description.meta_title,varchar,255,True,False,False
oc_category_description.meta_description,varchar,255,True,False,False
oc_category_description.meta_keyword,varchar,255,True,False,False
oc_country.name,varchar,128,True,False,False
oc_country.iso_code_2,varchar,2,False,False,False
oc_country.iso_code_3,varchar,3,False,False,False
oc_coupon.name,varchar,128,True,False,False
oc_coupon.code,varchar,20,False,False,False
oc_coupon.type,char,1,False,False,False
oc_coupon.uses_customer,varchar,11,False,False,False
oc_cron.code,varchar,128,True,False,False
oc_cron.description,text,,True,False,False
oc_cron.cycle,varchar,12,False,False,False
oc_cron.action,text,,True,False,False
oc_currency.title,varchar,32,True,False,False
oc_currency.code,varchar,3,False,False,False
oc_currency.symbol_left,varchar,12,False,False,False
oc_currency.symbol_right,varchar,12,False,False,False
oc_currency.decimal_place,char,1,False,False,False
oc_custom_field.type,varchar,32,True,False,False
oc_custom_field.value,text,,True,False,False
oc_custom_field.validation,varchar,255,True,False,False
oc_custom_field.location,varchar,10,False,False,False
