Column,Type,Size,Fuzzed,XSS,Token
piwigo_activity.object,varchar,255,True,False,False
piwigo_activity.action,varchar,255,True,False,False
piwigo_activity.session_idx,varchar,255,True,False,False
piwigo_activity.ip_address,varchar,50,True,False,False
piwigo_activity.details,varchar,255,True,False,False
piwigo_activity.user_agent,varchar,255,True,False,False
piwigo_categories.name,varchar,255,True,False,True
piwigo_categories.comment,text,,True,False,False
piwigo_categories.dir,varchar,255,True,False,False
piwigo_categories.uppercats,varchar,255,True,True,True
piwigo_categories.global_rank,varchar,255,True,False,False
piwigo_categories.image_order,varchar,128,True,False,False
piwigo_categories.permalink,varchar,64,True,False,False
piwigo_comments.author,varchar,255,True,False,False
piwigo_comments.email,varchar,255,True,False,False
piwigo_comments.anonymous_id,varchar,45,True,False,False
piwigo_comments.website_url,varchar,255,True,False,False
piwigo_comments.content,longtext,,True,False,False
piwigo_config.param,varchar,40,True,False,False
piwigo_config.value,text,,True,True,True
piwigo_config.comment,varchar,255,True,False,False
piwigo_groups.name,varchar,255,True,True,True
piwigo_history.IP,varchar,15,False,False,False
piwigo_history.tag_ids,varchar,50,True,False,False
piwigo_image_format.ext,varchar,255,True,False,False
piwigo_images.file,varchar,255,True,True,True
piwigo_images.name,varchar,255,True,False,False
piwigo_images.comment,text,,True,False,False
piwigo_images.author,varchar,255,True,False,False
piwigo_images.coi,char,4,False,False,False
piwigo_images.representative_ext,varchar,4,False,False,False
piwigo_images.path,varchar,255,True,False,True
piwigo_images.md5sum,char,32,True,False,False
piwigo_languages.id,varchar,64,True,True,True
piwigo_languages.version,varchar,64,True,False,False
piwigo_languages.name,varchar,64,True,False,True
piwigo_old_permalinks.permalink,varchar,64,True,False,False
piwigo_plugins.id,varchar,64,True,True,True
piwigo_plugins.version,varchar,64,True,True,True
piwigo_rate.anonymous_id,varchar,45,True,False,False
piwigo_search.rules,text,,True,False,False
piwigo_sessions.id,varchar,255,True,False,False
piwigo_sessions.data,mediumtext,,True,False,False
piwigo_sites.galleries_url,varchar,255,True,True,True
piwigo_tags.name,varchar,255,True,True,True
piwigo_tags.url_name,varchar,255,True,True,True
piwigo_themes.id,varchar,64,True,False,False
piwigo_themes.version,varchar,64,True,False,False
piwigo_themes.name,varchar,64,True,False,True
piwigo_upgrade.id,varchar,20,False,False,False
piwigo_upgrade.description,varchar,255,True,False,False
piwigo_user_auth_keys.auth_key,varchar,255,True,False,False
piwigo_user_cache.forbidden_categories,mediumtext,,True,False,False
piwigo_user_cache.image_access_list,mediumtext,,True,False,False
piwigo_user_feed.id,varchar,50,True,False,False
piwigo_user_infos.language,varchar,50,True,False,True
piwigo_user_infos.theme,varchar,255,True,False,False
piwigo_user_infos.activation_key,varchar,255,True,False,False
piwigo_user_infos.preferences,text,,True,False,False
piwigo_user_mail_notification.check_key,varchar,16,False,False,False
piwigo_users.username,varchar,100,True,True,True
piwigo_users.password,varchar,255,True,False,False
piwigo_users.mail_address,varchar,255,True,True,True
