Column,Type,Size,Fuzzed,XSS,Token
wp_commentmeta.meta_key,varchar,255,True,False,False
wp_commentmeta.meta_value,longtext,,True,False,False
wp_comments.comment_author,tinytext,,True,True,True
wp_comments.comment_author_email,varchar,100,True,False,False
wp_comments.comment_author_url,varchar,200,True,False,True
wp_comments.comment_author_IP,varchar,100,True,False,False
wp_comments.comment_content,text,,True,False,True
wp_comments.comment_approved,varchar,20,False,False,False
wp_comments.comment_agent,varchar,255,True,False,False
wp_comments.comment_type,varchar,20,False,False,False
wp_links.link_url,varchar,255,True,False,False
wp_links.link_name,varchar,255,True,False,False
wp_links.link_image,varchar,255,True,False,False
wp_links.link_target,varchar,25,False,False,False
wp_links.link_description,varchar,255,True,False,False
wp_links.link_visible,varchar,20,False,False,False
wp_links.link_rel,varchar,255,True,False,False
wp_links.link_notes,mediumtext,,True,False,False
wp_links.link_rss,varchar,255,True,False,False
wp_options.option_name,varchar,191,True,False,False
wp_options.option_value,longtext,,True,True,True
wp_options.autoload,varchar,20,False,False,False
wp_postmeta.meta_key,varchar,255,True,False,False
wp_postmeta.meta_value,longtext,,True,False,True
wp_posts.post_content,longtext,,True,True,True
wp_posts.post_title,text,,True,True,True
wp_posts.post_excerpt,text,,True,True,True
wp_posts.post_status,varchar,20,False,False,False
wp_posts.comment_status,varchar,20,False,False,False
wp_posts.ping_status,varchar,20,False,False,False
wp_posts.post_password,varchar,255,True,False,True
wp_posts.post_name,varchar,200,True,True,True
wp_posts.to_ping,text,,True,False,False
wp_posts.pinged,text,,True,False,False
wp_posts.post_content_filtered,longtext,,True,False,False
wp_posts.guid,varchar,255,True,False,False
wp_posts.post_type,varchar,20,False,False,False
wp_posts.post_mime_type,varchar,100,True,False,False
wp_term_taxonomy.taxonomy,varchar,32,True,False,False
wp_term_taxonomy.description,longtext,,True,False,False
wp_termmeta.meta_key,varchar,255,True,False,False
wp_termmeta.meta_value,longtext,,True,False,False
wp_terms.name,varchar,200,True,True,True
wp_terms.slug,varchar,200,True,False,True
wp_usermeta.meta_key,varchar,255,True,False,False
wp_usermeta.meta_value,longtext,,True,False,True
wp_users.user_login,varchar,60,True,False,False
wp_users.user_pass,varchar,255,True,False,False
wp_users.user_nicename,varchar,50,True,False,True
wp_users.user_email,varchar,100,True,False,True
wp_users.user_url,varchar,100,True,False,True
wp_users.user_activation_key,varchar,255,True,False,False
wp_users.display_name,varchar,250,True,True,True
